Order,Category,Subcategory,Style,Brand,Product,Rating,IB,Release,ABV,Age,Interpolated Date,Chang,Canal's Mt. Ephraim,Cask Strength Society,FWGS,Kreston,Mawl's & Seelbach's,PWS,Redstone,Roger Wilco Pennsauken,SJBD 1,SJBD 2,Somerville Super Saver,?,Distillery 1,Distillery 2,Distillery 3,Distillery 4,Distillery 5,Distillery 6,Distillery 7,Distillery 8,Distillery 9
168,Scotch,Speyside,Light Smoke,BenRiach,Curiositas,3.5,,,,10,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
169,Scotch,Campbeltown,Smoke/Wine,Longrow,11 Pinot Noir Red,3.5,,,,11,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
170,New Make,Oat,,High West,Western Oat,0.5,,,,,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
171,American,Corn,Smoke,Balcones,Brimstone,4.5,,,,,8/28/2018,,,,,,,,,,,,,,,,,,,,,,
172,Scotch,Islay,Smoke/Sherry,Bowmore,15 Darkest,3.5,,,,15,8/29/2018,,,,,,,,,,,,,,,,,,,,,,
173,American,Pennsylvania,,Faber,Keystone Rail,3,,,,,8/31/2018,,,,,,,,,,,,,,,,,,,,,,
174,Scotch,Speyside,Rum/Light Smoke,Glenfiddich,Fire and Cane,4,,,,,9/7/2018,,,,,,,,,,,,,,,,,,,,,,
175,Bourbon,,Wheat,Maker's Mark,Cask Strength,3.5,,,,,9/8/2018,,,,,,,,,,,,,,,,,,,,,,
176,Scotch,Blended Scotch,Light Smoke,Johnnie Walker,Gold Label,4,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
177,Scotch,Blended Scotch,,Johnnie Walker,18,3.5,,,,18,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
178,Flavored,Tennessee,Creative,Ole Smokey,Salty Caramel,2.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
179,Bourbon,Missouri,,David Nicholson,1843,2,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
180,Bourbon,Missouri,,David Nicholson,Reserve,3,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
181,Bourbon,,,Yellowstone,Select,3,,,,4,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
182,Bourbon,,Wheat,Jefferson's,Ocean Wheated,4.5,,?,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
183,Bourbon,,,Jefferson's,Ocean,4,,?,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
184,Bourbon,Finished,Wine,Jefferson's,Pritchard Hill Cabernet,3,,,,,9/13/2018,,,,,,,,,3,,,,,,,,,,,,,
185,Bourbon,Finished,Rum,Jefferson's,Old Rum Cask Finish,4,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
186,Bourbon,,,Jefferson's,Reserve Very Old,4.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
187,American,Bourbon/Rye,Bourye,Jefferson's,Chef's Collaboration,3.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
188,Bourbon,,,Jefferson's,Twin Oak,4,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
189,Bourbon,,,Jefferson's,Cask Strength,4.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
190,American,Barrel Aged Cocktail,Barrel Aged Cocktail,Jefferson's,Barrel Aged Manhattan,3.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
191,Irish,Blended,,Slane,,3,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
192,Bourbon,,High Rye,Old Forester,Statesman,3,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
193,Rye,Pennsylvania,Wine,Dad's Hat,Vermouth Finish,4,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
194,Rye,Pennsylvania,Port,Dad's Hat,Port Finish,4,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
195,Bourbon,Indiana,,Redemption,,3,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
196,Rye,Indiana,,Redemption,,1.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
197,Bourbon,California,,Bib & Tucker,,2.5,,,,6,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
198,Bourbon,Florida,,HillBilly,86,3,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
199,Bourbon,Pennsylvania,,Hidden Still,David E,2,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
200,New Make,Corn,,Hidden Still,Screwhead Shine,0.5,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
201,American,Blended,Budget,Bird Dog,,2,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
202,Flavored,Kentucky,Creative,Bird Dog,Chocolate,2,,,,,9/13/2018,,,,,,,,,,,,,,,,,,,,,,
